Test,TestId,Type,Item,Message,Data,Path
ITEMS,258,"Info","","TypeScript config item count",1,"",
ITEMS,259,"Info","","NPM package definition item count",1,"",
ITEMS,279,"Info","","Language translations item count",1,"",
ITEMS,303,"Info","","Icon item count",1,"",
ITEMS,309,"Info","","Behavior pack folder item count",1,"",
ITEMTYPE,1,"Test success","","Item Type completed successfully",,"",
ITEMTYPE,120,"Recommendation","","Behavior pack Item Type format version (1.21.30) has a lower minor version number compared to the current version or the previous current minor version",,"/items/minere/advanced_minecart.item.json",
ITEMTYPE,120,"Recommendation","","Behavior pack Item Type format version (1.21.30) has a lower minor version number compared to the current version or the previous current minor version",,"/items/minere/auto_miner.item.json",
ITEMTYPE,120,"Recommendation","","Behavior pack Item Type format version (1.21.30) has a lower minor version number compared to the current version or the previous current minor version",,"/items/minere/copper_drill.json",
ITEMTYPE,120,"Recommendation","","Behavior pack Item Type format version (1.21.30) has a lower minor version number compared to the current version or the previous current minor version",,"/items/minere/copper_rail.json",
ITEMTYPE,120,"Recommendation","","Behavior pack Item Type format version (1.21.30) has a lower minor version number compared to the current version or the previous current minor version",,"/items/minere/diamond_drill.json",
ITEMTYPE,120,"Recommendation","","Behavior pack Item Type format version (1.21.30) has a lower minor version number compared to the current version or the previous current minor version",,"/items/minere/diamond_rail.json",
ITEMTYPE,120,"Recommendation","","Behavior pack Item Type format version (1.21.30) has a lower minor version number compared to the current version or the previous current minor version",,"/items/minere/emerald_rail.json",
ITEMTYPE,120,"Recommendation","","Behavior pack Item Type format version (1.21.30) has a lower minor version number compared to the current version or the previous current minor version",,"/items/minere/gold_drill.json",
ITEMTYPE,120,"Recommendation","","Behavior pack Item Type format version (1.21.30) has a lower minor version number compared to the current version or the previous current minor version",,"/items/minere/golden_rail.json",
ITEMTYPE,120,"Recommendation","","Behavior pack Item Type format version (1.21.30) has a lower minor version number compared to the current version or the previous current minor version",,"/items/minere/iron_drill.json",
ITEMTYPE,120,"Recommendation","","Behavior pack Item Type format version (1.21.30) has a lower minor version number compared to the current version or the previous current minor version",,"/items/minere/iron_rail.json",
ITEMTYPE,120,"Recommendation","","Behavior pack Item Type format version (1.21.30) has a lower minor version number compared to the current version or the previous current minor version",,"/items/minere/stone_drill.json",
JSON,1,"Test success","","JSON Schema Validation completed successfully",,"",
JSON,1110,"Info","","Entity type is not at a current format version",,"/entities/minere/advanced_minecart.json",
JSON,1110,"Info","","Entity type is not at a current format version",,"/entities/minere/auto_miner.json",
JSON,1123,"Info","","Item type is not at a current format version (is at 1.21.30)",,"/items/minere/advanced_minecart.item.json",
JSON,1123,"Info","","Item type is not at a current format version (is at 1.21.30)",,"/items/minere/auto_miner.item.json",
JSON,1123,"Info","","Item type is not at a current format version (is at 1.21.30)",,"/items/minere/copper_drill.json",
JSON,1123,"Info","","Item type is not at a current format version (is at 1.21.30)",,"/items/minere/copper_rail.json",
JSON,1123,"Info","","Item type is not at a current format version (is at 1.21.30)",,"/items/minere/diamond_drill.json",
JSON,1123,"Info","","Item type is not at a current format version (is at 1.21.30)",,"/items/minere/diamond_rail.json",
JSON,1123,"Info","","Item type is not at a current format version (is at 1.21.30)",,"/items/minere/emerald_rail.json",
JSON,1123,"Info","","Item type is not at a current format version (is at 1.21.30)",,"/items/minere/gold_drill.json",
JSON,1123,"Info","","Item type is not at a current format version (is at 1.21.30)",,"/items/minere/golden_rail.json",
JSON,1123,"Info","","Item type is not at a current format version (is at 1.21.30)",,"/items/minere/iron_drill.json",
JSON,1123,"Info","","Item type is not at a current format version (is at 1.21.30)",,"/items/minere/iron_rail.json",
JSON,1123,"Info","","Item type is not at a current format version (is at 1.21.30)",,"/items/minere/stone_drill.json",
JSONF,1,"Test success","","JSON Structure completed successfully",,"",
JSONTAGS,1,"Test success","","JSON Tags completed successfully",,"",
JSONTAGS,101,"Info","","Entity file","/entities/minere/advanced_minecart.json","/entities/minere/advanced_minecart.json",defaultComponents minecraftIsStackable,1,defaultComponents minecraftTypeFamily,1,defaultComponents minecraftCollisionBox,1,defaultComponents minecraftRailMovement,1,defaultComponents minecraftRideable,1,defaultComponents minecraftRailSensor,1,defaultComponents minecraftPhysics,1,defaultComponents minecraftPushable,1,defaultComponents minecraftConditionalBandwidthOptimization,1,defaultComponents minecraftLoot,1,
JSONTAGS,101,"Info","","Entity file","/entities/minere/auto_miner.json","/entities/minere/auto_miner.json",defaultComponents minecraftPhysics,1,defaultComponents minecraftKnockbackResistance,1,defaultComponents minecraftHealth,1,defaultComponents minecraftDamageSensor,1,defaultComponents minecraftFireImmune,1,defaultComponents minecraftInventory,1,defaultComponents minecraftCollisionBox,1,defaultComponents minecraftTypeFamily,1,defaultComponents minecraftPushable,1,defaultComponents minecraftIsStackable,1,defaultComponents minecraftLoot,1,entityEvents sequence,4,entityEvents filters,2,entityEvents setProperty,3,
JSONTAGS,101,"Info","","Entity file","/loot_tables/entities/advanced_minecart.json","/loot_tables/entities/advanced_minecart.json",
JSONTAGS,101,"Info","","Entity file","/loot_tables/entities/auto_miner.json","/loot_tables/entities/auto_miner.json",
JSONTAGS,102,"Info","","Block file","/blocks/copper_rail.json","/blocks/copper_rail.json",blockDefaultComponents minecraftLoot,1,
JSONTAGS,102,"Info","","Block file","/blocks/diamond_rail.json","/blocks/diamond_rail.json",blockDefaultComponents minecraftLoot,1,
JSONTAGS,102,"Info","","Block file","/blocks/emerald_rail.json","/blocks/emerald_rail.json",blockDefaultComponents minecraftLoot,1,
JSONTAGS,102,"Info","","Block file","/blocks/golden_rail.json","/blocks/golden_rail.json",blockDefaultComponents minecraftLoot,1,
JSONTAGS,102,"Info","","Block file","/blocks/iron_rail.json","/blocks/iron_rail.json",blockDefaultComponents minecraftLoot,1,
JSONTAGS,102,"Info","","Block file","/loot_tables/blocks/copper_rail.json","/loot_tables/blocks/copper_rail.json",
JSONTAGS,102,"Info","","Block file","/loot_tables/blocks/diamond_rail.json","/loot_tables/blocks/diamond_rail.json",
JSONTAGS,102,"Info","","Block file","/loot_tables/blocks/emerald_rail.json","/loot_tables/blocks/emerald_rail.json",
JSONTAGS,102,"Info","","Block file","/loot_tables/blocks/golden_rail.json","/loot_tables/blocks/golden_rail.json",
JSONTAGS,102,"Info","","Block file","/loot_tables/blocks/iron_rail.json","/loot_tables/blocks/iron_rail.json",
JSONTAGS,103,"Info","","Item file","/items/minere/advanced_minecart.item.json","/items/minere/advanced_minecart.item.json",components minecraftMaxStackSize,1,components minecraftGlint,1,components minecraftIcon,1,components minecraftEntityPlacer,1,
JSONTAGS,103,"Info","","Item file","/items/minere/auto_miner.item.json","/items/minere/auto_miner.item.json",components minecraftMaxStackSize,1,components minecraftIcon,1,components minecraftCustomComponents,1,components minecraftDurability,1,components minecraftRepairable,1,
JSONTAGS,103,"Info","","Item file","/items/minere/copper_drill.json","/items/minere/copper_drill.json",components minecraftMaxStackSize,1,components minecraftIcon,1,components minecraftDurability,1,components minecraftRepairable,1,
JSONTAGS,103,"Info","","Item file","/items/minere/copper_rail.json","/items/minere/copper_rail.json",components minecraftMaxStackSize,1,components minecraftIcon,1,
JSONTAGS,103,"Info","","Item file","/items/minere/diamond_drill.json","/items/minere/diamond_drill.json",components minecraftMaxStackSize,1,components minecraftIcon,1,components minecraftDurability,1,components minecraftRepairable,1,
JSONTAGS,103,"Info","","Item file","/items/minere/diamond_rail.json","/items/minere/diamond_rail.json",components minecraftMaxStackSize,1,components minecraftIcon,1,
JSONTAGS,103,"Info","","Item file","/items/minere/emerald_rail.json","/items/minere/emerald_rail.json",components minecraftMaxStackSize,1,components minecraftIcon,1,
JSONTAGS,103,"Info","","Item file","/items/minere/gold_drill.json","/items/minere/gold_drill.json",components minecraftMaxStackSize,1,components minecraftIcon,1,components minecraftDurability,1,components minecraftRepairable,1,
JSONTAGS,103,"Info","","Item file","/items/minere/golden_rail.json","/items/minere/golden_rail.json",components minecraftMaxStackSize,1,components minecraftIcon,1,
JSONTAGS,103,"Info","","Item file","/items/minere/iron_drill.json","/items/minere/iron_drill.json",components minecraftMaxStackSize,1,components minecraftIcon,1,components minecraftDurability,1,components minecraftRepairable,1,
JSONTAGS,103,"Info","","Item file","/items/minere/iron_rail.json","/items/minere/iron_rail.json",components minecraftMaxStackSize,1,components minecraftIcon,1,
JSONTAGS,103,"Info","","Item file","/items/minere/stone_drill.json","/items/minere/stone_drill.json",components minecraftMaxStackSize,1,components minecraftIcon,1,components minecraftDurability,1,components minecraftRepairable,1,
LINESIZE,1,"Test success","","File Line/Size Information completed successfully",,"",
MCFUNCTION,2,"Unknown","","No applicable items found for test MC Function Validation (MCFUNCTION)",,"",
MINENGINEVER,1,"Test success","","Min Engine Version completed successfully",,"",
MINENGINEVER,605,"Info","","Behavior pack manifest min_engine_version",1,21,30,"/manifest.json",
NOBOM,1,"Test success","","No Byte Order Mark allowed in json file. completed successfully",,"",
PACK,1,"Test success","","General info completed successfully",,"",
PACK,104,"Info","","Behavior Pack Name","Auto Miner [1.0.2]","/manifest.json",
PACK,105,"Info","","Behavior Pack Description","CocoaWarrior's Auto Miner","/manifest.json",
PACK,106,"Info","","Behavior Pack Id","2e839411-4a0e-4cee-b106-33d5bde91193|1.0.1","/manifest.json",
PACK,107,"Info","","Behavior Pack Min Engine Version",2,"/manifest.json",
PACK,107,"Info","","Behavior Pack Min Engine Version",1,21,30,"/manifest.json",
PACK,108,"Info","","Behavior Pack Uuid","2e839411-4a0e-4cee-b106-33d5bde91193","/manifest.json",
PACK,109,"Info","","Behavior Pack Manifest",,"/manifest.json",
PACKMETADATA,1,"Test success","","General info completed successfully",,"",
PACKSIZE,1,"Test success","","Pack Size Information completed successfully",,"",
PATHLENGTH,1,"Test success","","Path Length completed successfully",,"",
PATHLENGTH,104,"Recommendation","","File path contains non-lowercase letters","machine/autoMiner.js","",
PATHLENGTH,104,"Recommendation","","File path contains non-lowercase letters","machine/autoMiner.ts","",
PATHLENGTH,104,"Recommendation","","File path contains non-lowercase letters","mob/angerEndermen.js","",
PATHLENGTH,104,"Recommendation","","File path contains non-lowercase letters","mob/castFire.js","",
PATHLENGTH,104,"Recommendation","","File path contains non-lowercase letters","mob/endSpawns.js","",
PATHLENGTH,104,"Recommendation","","File path contains non-lowercase letters","mob/enderTeleport.js","",
PATHLENGTH,104,"Recommendation","","File path contains non-lowercase letters","mob/ogreLaugh.js","",
PATHLENGTH,104,"Recommendation","","File path contains non-lowercase letters","mob/shootWeb.js","",
PATHLENGTH,104,"Recommendation","","File path contains non-lowercase letters","mob/throwBy.js","",
PATHLENGTH,104,"Recommendation","","File path contains non-lowercase letters","player/armorCurve.js","",
PATHLENGTH,104,"Recommendation","","File path contains non-lowercase letters","player/armorWeight.js","",
PATHLENGTH,104,"Recommendation","","File path contains non-lowercase letters","player/consumeXp.js","",
PATHLENGTH,104,"Recommendation","","File path contains non-lowercase letters","player/healFromItem.js","",
PATHLENGTH,104,"Recommendation","","File path contains non-lowercase letters","player/playerHungerHeal.js","",
PATHLENGTH,104,"Recommendation","","File path contains non-lowercase letters","util/matchFunctions.js","",
PATHLENGTH,104,"Recommendation","","File path contains non-lowercase letters","util/mathFunctions.js","",
PATHLENGTH,104,"Recommendation","","File path contains non-lowercase letters","util/mathFunctions.ts","",
PATHLENGTH,104,"Recommendation","","File path contains non-lowercase letters","util/throwBy.js","",
PATHLENGTH,104,"Recommendation","","File path contains non-lowercase letters","util/vector2Functions.js","",
PATHLENGTH,104,"Recommendation","","File path contains non-lowercase letters","util/vector2Functions.ts","",
PATHLENGTH,104,"Recommendation","","File path contains non-lowercase letters","util/vector3Functions.js","",
PATHLENGTH,104,"Recommendation","","File path contains non-lowercase letters","util/vector3Functions.ts","",
PRJINT,1,"Test success","","Project Integrity completed successfully",,"",
RESOURCEANIMATION,1,"Test success","","Resource Animation completed successfully",,"",
RPDEPENDS,1,"Test success","","Resource Pack Dependencies completed successfully",,"",
SCRIPT,1,"Test success","","Script completed successfully",,"",
SCRIPTMODULE,1,"Test success","","Script Modules completed successfully",,"",
SCRIPTMODULE,100,"Info","","Behavior pack dependency on 1.16.0 at @minecraft/server","1.16.0","/manifest.json",
SCRIPTMODULE,101,"Info","","Package.json registers usage of @minecraft/server at ^1.16.0","^1.16.0","/package.json",
SCRIPTMODULE,101,"Info","","Package.json registers usage of @minecraft/server-ui at ^1.3.0","^1.3.0","/package.json",
SNDSDEF,2,"Unknown","","No applicable items found for test Sound Definitions (SNDSDEF)",,"",
STRICT,1,"Test success","","Strict Platform completed successfully",,"",
SUMMARY,1,"Test success","","Summary Information completed successfully",,"",
TEXTURE,1,"Test success","","Texture Validation completed successfully",,"",
TEXTUREIMAGE,1,"Test success","","Texture Image Validation completed successfully",,"",
TEXTURELIST,2,"Unknown","","No applicable items found for test Texture List Validation (TEXTURELIST)",,"",
TEXTUREREF,1,"Test success","","Texture References completed successfully",,"",
TYPES,1,"Test success","","Types Info Aggregation completed successfully",,"",
